YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS
310,0.417111507,1180.595158,27489.5215,23.28446064,22.1,141.3,64.47,1.8
311,1.012274395,1181.801736,40927.59883,34.63152709,22.7,192.1,59.52,0.3
312,1.415204301,966.5988577,6741.538126,6.974494199,16.8,71.2,43.85,0.13
313,0.143083188,5.062837851,85.5256977,16.89283762,20.2,117.5,52.86,0.07
314,0.3102,27.03816,69.18588,2.558823529,15.8,30.1,33.6,0.07
315,0.4213,180.42747,349.11982,1.93495935,13.3,0.5,44.76,0.25
316,0.314857143,66.52481633,199.643102,3.001031992,16.5,32,32.61,0.18
317,0.726363636,1567.035119,2199.546932,1.403636017,13.6,24.5,37.74,0.79
318,0.282472527,13.08068017,457.2770023,34.95819761,24.1,173.5,47.41,0.04
319,0.223852026,67.41125622,230.3096177,3.416486068,14.7,48.9,45.18,0.36
320,0.660505837,140.1043392,1869.050291,13.34041688,18.6,110.2,46.56,0.09
321,0.834534786,793.8353196,4353.785836,5.484494994,15.2,72.3,48.26,0.3
322,0.525935031,2044.250104,3548.837816,1.736009605,15.4,23.1,34.58,1.95
324,0.489570175,1045.692218,13228.7941,12.65075313,21.6,78.5,44.19,1.16
326,0.112812912,17.82993082,82.14515949,4.607149648,17.1,46.2,45.13,0.37
327,1.12353045,2225.79128,5982.825151,2.687954259,16.1,30.8,35.05,0.47
328,0.124,2.499689981,34.15274102,13.6627907,20.7,89.9,44.35,0.04
330,0.038590604,7.900122742,121.673151,15.40142539,22.1,92.6,44.42,1.4
331,0.282,434.99628,792.05904,1.820840951,12.6,40.3,45.88,1.44
334,1.023465819,2622.192148,269066.1036,102.6111316,28.3,385.1,84.31,0.66
335,0.7128,1362.82905,314.02404,0.230420712,9.4,12.5,42.13,0.69
336,0.309927361,111.442975,1432.266037,12.85200827,18,114,50.89,0.31
337,0.1698,15.21691,94.50502,6.210526316,16.3,67.2,51.37,0.13
338,0.391783217,635.9792808,13931.90467,21.90622414,22,131.2,51.97,1.1
339,0.43821894,268.1531639,695.8803671,2.595085424,16.1,29.9,35.83,0.37
340,0.318454106,42.59557049,1109.358426,26.04398564,20.4,176.1,50.19,0.11
341,0.551098901,208.1438119,1096.285378,5.266961186,12.6,112.3,50.94,0.18
342,0.369230769,58.09932327,410.8290153,7.071149752,16.2,79.8,46.3,0.11
343,1.152487654,4440.005783,37852.17876,8.525254383,15.9,102.1,51.45,0.89
345,0.437076412,228.9540469,1203.272688,5.255520505,16.5,57.1,52.08,0.31
346,0.255528256,16.76025814,370.5454304,22.10857538,19.6,163.2,48.47,0.07
350,0.2688125,22.02972743,190.9021862,8.665662651,18.3,73,42.35,0.08
351,0.238333333,888.6583333,16656.12361,18.74300053,24.9,95.7,43.23,4.06
353,0.441471927,2027.851189,153049.0335,75.47350331,32.7,234.8,47.75,2.82
355,0.15375,15.26032813,78.61301563,5.151462995,15.5,64,47.42,0.17
356,0.315693467,51.96624866,700.6909293,13.48357727,18.1,118.1,48.83,0.14
357,0.527641509,476.5652284,10306.96814,21.6276126,21.1,138.6,48.3,0.46
360,0.26871903,7.315722714,606.6103235,82.91871456,30,283.5,46.72,0.03
361,0.508246445,1484.319636,1651.202631,1.112430633,14.3,17.4,33.57,1.53
363,0.330816619,101.1226193,3609.868473,35.69793285,23.7,181.1,50.47,0.24
365,0.194104046,12.39260918,311.5245548,25.13793103,24.1,122.5,45.82,0.09
366,0.241780415,132.3501792,424.7881526,3.209577465,14.3,49.6,47.22,0.59
367,1.147627258,485.4997616,12565.33619,25.88124071,21.5,159.1,46.31,0.1
369,0.3,53.8,1482.4,27.55390335,24.4,133.2,44.22,0.16
370,0.534674115,64.78101907,4218.365016,65.11729943,26,276.4,49.41,0.06
372,1.118948433,1076.763669,15402.52317,14.30446031,19.8,103.5,54.03,0.23
373,0.2,717.9,5745.4,8.003064494,19.6,66.4,44.94,4.87
374,0.100636364,17.56714463,351.6867335,20.01957295,19.2,155.6,72.99,0.48
375,0.176495726,23.66326166,11170.47224,472.0597015,37.9,1104.8,66.34,0.2
376,0.174109589,16.97087634,39.11503096,2.304832714,12.6,48.6,56.84,0.15
377,0.453289474,205.910232,2366.687587,11.4937833,16.5,123.1,55.29,0.27
378,0.076475771,75.97138699,811.604774,10.68303221,17.4,109.6,50.55,3.31
383,0.299,19.66822,587.36457,29.86363636,14.8,421.4,108.23,0.05
386,0.342205089,411.2437815,7521.894893,18.2905985,19.1,145.5,50.87,0.93
390,0.12,344.5,14055,40.79825835,33.4,133.9,45.15,6.4
391,0.24187234,759.1377239,5659.968927,7.455786676,20.9,52.2,40.25,3.44
392,0.154757813,148.9545308,668.9365917,4.490877775,19.3,35.7,31.69,1.65
393,0.21955836,165.0381634,1453.875748,8.809330629,16.5,96.9,54.99,0.89
394,0.267201258,180.1467288,285.6497199,1.58565033,12.6,34.1,46.19,0.67
396,0.292690058,731.9753086,7052.612513,9.635041551,21.9,30.6,39.61,2.34
397,0.484315287,231.6015625,2382.332467,10.28634022,16.1,117.6,50.8,0.26
399,0.889526185,8060.28215,55858.40449,6.930080542,16.8,76.5,52.36,2.79
401,0.261659193,601.2034542,29644.51085,49.30861698,25.5,231.5,51.33,2.35
402,0.24598338,306.6402007,2047.114114,6.675948257,17.2,67.4,47.01,1.31
404,0.711040724,674.6446223,415.8060973,0.616333524,11.7,16.2,38.96,0.36
405,0.133789954,26.31263527,1806.084965,68.63945578,27.7,265.1,48.62,0.38
406,0.343429542,117.3004803,538.5659033,4.591335874,15.4,58,46.17,0.26
407,1.122045612,382.7393664,3387.86118,8.851614121,17.7,81.7,44.35,0.08
408,0.207227723,47.16460151,4219.648858,89.46643718,29.4,312.2,55.86,0.29
410,0.179579439,110.4941021,107.1302843,0.969556585,13.2,18.7,35.47,0.95
411,0.1062,3.62024,73.37948,20.26923077,20.7,132.5,47.1,0.08
412,0.212802768,124.4215527,167.9233366,1.349632222,12.7,28.6,44.81,0.73
413,1.216522843,4565.300041,24267.50817,5.315643649,14.6,77.7,47.28,0.81
414,0.07231405,5.217463895,60.86645949,11.66590909,18.8,93.8,44.81,0.28
416,0.31,127.4,807.3,6.336734694,16.7,66.6,43.6,0.36
417,1.35,857.1,58916.3,68.73912029,27,275.4,55.76,0.13
418,0.916438356,734.5162487,21217.40405,28.8862283,21.2,182.1,53.54,0.23
419,0.075,2.34375,37.03125,15.8,19,125.9,48.99,0.09
420,0.418911917,192.8966382,2120.271299,10.99174832,18.2,94.4,51.7,0.29
423,0.1386,0.47628,45.08784,94.66666667,29.5,276.1,49.24,0.01
424,0.158656808,19.94195709,122.8293821,6.159344418,14.1,96.3,49.8,0.21
425,0.0882,18.09864,77.63364,4.289473684,15.5,54.3,47.19,0.6
426,1.251728111,891.1702146,5243.146363,5.883439861,17.2,57.6,42.01,0.15
430,1.23004902,273.0651003,6181.980948,22.63922025,21.4,139.9,47.49,0.05
431,0.36,936.2,21260.9,22.70978423,30.5,77.6,31.88,1.89
436,0.311489362,138.1267542,874.9150747,6.334146341,16.4,149.9,51.88,0.36
438,0.133252427,7.418149684,21.46528419,2.893617021,15.5,35.8,38.51,0.11
440,0.298220339,23.36865125,1210.79875,51.81294964,25.2,515.5,49.92,0.07
441,0.511450693,191.6402557,352.7204624,1.840534292,12.7,38.1,51.83,0.19
442,0.441628959,332.170922,1436.486866,4.324541284,16.3,92.1,54.15,0.45
443,0.519049531,2850.133491,143583.4433,50.37779589,31.1,169.8,44.75,2.77
445,0.25,71.2,571.3,8.023876404,15.3,103.9,56.79,0.29
446,1.225665529,3103.485515,56280.7205,18.13468122,20,129.4,48.45,0.55
447,0.48945245,224.2197444,3631.196688,16.19481236,18.1,141.2,48.93,0.25
448,0.1288,14.89664,209.9072,14.09090909,18.2,122,50.99,0.22
451,1.285860989,2475.717773,22897.44501,9.248810692,16.9,94.8,48.85,0.4
452,0.09,186.7,1488.6,7.973219068,25.7,40.8,31.35,6.45
455,0.311747573,59.69141295,943.0950608,15.79950975,17.8,143.1,49.88,0.16
456,0.184,81.2544,20.99072,0.258333333,11.1,8.1,31.79,0.59
457,0.291048035,26.36643466,473.3547186,17.95292859,19.5,134.3,50.85,0.08
458,0.82724359,1293.350329,30831.46469,23.8384481,21.6,146.5,51.23,0.5
463,1.592893082,2212.018057,60549.79365,27.37310098,20.2,188.7,52.03,0.23
464,0.200310078,82.19198365,4613.719272,56.13344595,19.4,429.2,51.56,0.58
465,0.408275618,723.2677216,437.3994754,0.604754591,11.6,16.9,39.51,1.16
466,1.637936637,1164.484042,36154.18946,31.04738935,20.9,200.2,49.05,0.12
467,0.176470588,436.2506792,6364.122509,14.58822373,21.6,96.1,47.54,3.67
468,0.238314607,47.2638177,2086.562328,44.14713896,24.2,214.8,56.94,0.23
469,0.908488024,1967.417967,21082.94289,10.71604674,18.7,88.1,48,0.64
474,1.501833579,1495.57583,4023.370697,2.690181678,14,43.2,46.15,0.18
475,0.163345481,27.19244952,513.8526794,18.89688823,20.8,124.2,47.84,0.27
476,0.224677558,186.3340798,2997.66216,16.08756789,20.5,110.4,51.34,0.98
477,1.155452675,745.4329663,3081.696677,4.13410302,15.4,52.4,42.14,0.15
478,0.535628227,219.5102831,395.7842017,1.803032624,12.4,40,46.04,0.2
479,0.3096,34.44687,395.39016,11.47826087,18.8,1.4,44.32,0.09
480,0.339410745,527.3451288,7679.356865,14.5622979,18.3,128,58.26,1.22
481,0.27518797,356.4231655,4985.322764,13.98708963,18.9,114.3,51.12,1.25
482,1.729197623,6595.360145,11348.60837,1.720695781,13.2,32.6,43.97,0.59
485,0.765179641,2505.883072,22049.34804,8.799033081,19.5,67.3,44.57,1.13
486,0.331034483,276.0998811,165.2318668,0.598449612,11.4,17.1,43.17,0.68
487,0.455533662,583.616209,4891.438933,8.381259563,14.3,128.6,56.18,0.75
489,0.386,11.91968,683.89164,57.375,24.2,286.6,50.61,0.02
491,0.237285714,157.6293622,531.7518929,3.373431734,15.7,41.4,48.04,0.77
493,0.441807229,802.0715705,5178.816105,6.456800484,16.7,69.1,57.33,1.09
494,1.14,367.1,813.2,2.215200218,14.3,33.3,40.69,0.08
496,0.2775,88.3005,184.47275,2.089147287,16.1,24.1,27.24,0.31
497,0.326886792,150.7155571,6697.847766,44.44032118,22.3,254.2,54.85,0.38
498,0.27665127,38.56854429,188.6032135,4.890078612,15.7,58.4,46.36,0.13
499,0.347336683,94.67106386,219.5959092,2.319567355,13.8,38.6,43.06,0.21
503,1.237966102,855.0975482,12813.90211,14.98531032,17.2,144.5,51.49,0.15
504,0.2944,17.60512,972.34432,55.23076923,21.2,348.7,85.69,0.05
505,0.5368,345.3088,202.4224,0.586206897,12.3,13.3,30.24,0.35
507,0.234489796,148.4840887,425.2145606,2.86370455,14,46.8,69.82,0.73
508,0.080558848,15.01499569,109.4825364,7.291546312,16.3,81.7,60.65,0.62
511,0.326926407,157.1127378,120.8128483,0.76895642,11.9,19.6,47.63,0.39
513,0.304,101.6576,588.68992,5.790909091,17.6,54.2,41.07,0.3
515,0.706030719,2265.081057,34959.52028,15.43411445,19.9,113.2,49.08,1.21
