YB,LM,TEMP,LRATIO,T_BOL,SURF_DENS
3361,0.872267172,12.7,17.9,35.78,0.13
3363,3.593220339,15.5,2.9,53.83,0.23
3364,0.182064481,9.8,8.2,33.71,0.22
3367,1.902439024,16.4,1.3,25.44,0.07
3368,2.527065527,14.9,34.8,40.31,0.03
3369,4.631866257,15.8,55.3,43.42,0.06
3371,9,18.9,79.2,47.2,0.04
3372,4.917355372,15,4.3,54.24,0.41
3373,10.04575163,21.8,60,32.08,0.03
3374,24.88609451,19.9,177.5,53.63,0.21
3376,1.457407407,12.7,30.5,46.99,0.09
3377,166.2186479,25.1,782,81.11,1.37
3378,1.758273381,15.6,21.6,24.52,0.04
3380,2.110047847,16.7,22,25.9,0.03
3382,4.444444444,19,2.3,29.46,0.02
3384,1.123280693,12.9,22.5,40.57,0.25
3385,0.541666667,13.3,9.9,20.66,0.05
3386,2.379477251,17.1,23.5,26.43,0.02
3387,16.97553161,18.7,137.1,48.02,0.11
3388,0.556367432,13.4,9.9,20.75,0.23
3390,3.339622642,15.3,2.7,40.85,0.08
3391,23.93939394,20.8,10,49.78,0.06
3392,3.832962138,15.6,47,42.24,0.16
3393,12.16666667,18.6,6.1,50.46,0.02
3394,7.736842105,16.5,5.2,49.06,0.09
3395,0.555555556,13.3,0.6,20.66,0.07
3396,2.470588235,14,2.5,48.26,0.13
3397,27.10238005,22.7,150.2,72.49,0.39
3398,15.35714286,21.1,5.9,45.98,0.04
3399,5.053914328,16.5,54.8,41.95,0.08
3400,0.913050994,13.4,16.6,36.8,0.36
3401,9.209051229,16.2,103.8,58.8,0.5
3402,23,21.6,8.5,47.26,0.01
3404,13.80324074,18.8,111,48.12,0.1
3406,39.78285078,23,212.3,51.24,0.17
3408,7.046221148,17.1,70.4,44.48,0.29
3409,2.231066315,13.4,39.8,45.93,0.19
3411,59.30716799,24.8,285.7,58.55,1.29
3414,34.25465544,22.1,199.5,55.49,0.34
3415,21.00371747,25.6,94.1,37.28,0.82
3416,21.29207768,18.6,175.4,52.02,0.17
3419,15.05670103,18.3,129.7,52.77,0.54
3420,25.55937342,21.5,157.4,48.91,0.2
3421,141.8529412,27.7,543.6,70.71,0.05
3422,3.975393701,17,39.4,40.5,0.04
3423,39.74846626,25.4,180.4,52.49,0.64
3426,11.70556414,18.3,101.7,64.65,0.65
3427,12.40251177,19,98.9,55.63,0.45
3428,88.86445332,26,380.8,53.63,0.2
3430,0.642857143,11.2,1.2,42.25,0.37
3431,16.69230769,20.9,107.8,47.15,0.05
3433,3.482855537,15.9,40.8,40.2,0.05
3434,34.64590623,21.3,214.3,50.86,0.16
3435,17.1875237,18,152.5,52.93,0.32
3436,0.346153846,12.3,0.5,19.08,0.04
3440,0.171777854,9.8,8,37.59,0.75
3441,1.313350656,13.2,24.8,39.56,0.58
3443,1.157226062,11.7,31,45.41,0.63
3444,1.56,14,24.8,36.88,0.1
3446,0.702868852,13.9,11.3,21.58,0.03
3447,26.49433428,21.2,168.7,49.74,0.47
3448,4.684952576,13.6,80.8,57.89,0.12
3449,7.305825243,17.7,67.2,43.25,0.08
3451,2.733333333,15.2,36.9,41.91,0.04
3452,0.525,13.2,0.6,20.47,0.06
3455,10.93355965,18.3,92.9,49.23,0.12
3457,5.035714286,17.4,2.7,37.4,0.06
3458,7.4,17.5,3.9,46.81,0.02
3459,74.25,25.2,19.3,54.53,0.13
3460,1.872235367,13.5,33.3,42.85,0.07
3461,5.974912605,16.5,64,44.28,0.08
3462,2.657883462,13.7,45.3,45.14,0.2
3463,1.093905358,12,26.5,44.95,0.28
3464,3.607287449,16,41.2,39.6,0.13
3465,1.2823219,11.9,32.5,45.64,0.28
3468,17.05084746,19.6,7.2,49.39,0.81
3469,0.944444444,14.6,0.8,22.68,0.06
3470,0.461402994,13,8.9,20.11,0.09
3471,6.243133147,14,100.1,66.4,0.41
3473,26.08333333,18.3,12.7,55.19,0.63
3474,7.75,19.1,58.9,39.32,0.04
3476,1.695652174,14,1.5,40.66,0.23
3479,14.70559251,19.9,106.5,58,0.66
3480,132.1760706,36.2,342,55.38,1.77
3481,2.481481481,15.2,1.8,38.94,0.08
3483,15.20266413,19.9,107.6,44.79,0.07
3484,5.706521739,15.6,3.9,46.23,0.6
3487,1.192307692,13.2,1.2,37.7,0.03
3492,39,26.2,10.3,51.66,0.07
3495,0.067024129,9.5,0.2,14.4,0.73
3496,81.13850232,33.5,13.4,49.36,3.79
3497,0.35678392,12.4,7.9,19.27,0.03
3499,0.202882619,10.4,7.6,31.3,0.18
3501,0.24015748,9.9,10.5,40.85,0.11
3502,1.135338346,14,18.1,32.01,0.05
3504,5.111111111,19.4,2,29,0.02
3505,10.47204969,18.1,91.6,59.91,0.02
3507,3.60494403,15.2,47.8,52.12,0.48
3508,0.378430121,12.6,8.2,19.46,0.25
3509,8.155434055,16.8,84.4,50.3,0.4
3510,45.80077857,23.9,228.2,54.14,0.13
3513,5.405228758,11.7,143,56.06,0.04
3514,3.69603228,15.6,45.6,42.72,0.13
3515,3.69,14.9,50,43.64,0.03
3516,131.9402277,28.7,483.4,70.05,0.66
3517,5.180300501,16.2,58.5,43.94,0.04
3518,46.42490494,24.5,221.9,54.45,0.05
3519,1.18907563,12.1,1.5,55.08,0.53
3522,10.14285714,19.6,3.8,40.69,0.05
3524,26.85109466,22.2,158.5,69.35,1.38
3525,176.5570755,33.1,521.2,60.34,1.41
3527,23.33333333,25.9,5.9,40.12,0.02
3528,1.024561404,11.9,25.3,44.51,0.17
3529,52.09997459,23.1,279.7,60.53,0.46
3530,12.1797354,18.6,101.1,49.01,0.17
